GCAMsector;GCAMsubsector;GCAMtechnology;univocalName;technology
trn_aviation_intl;International Aviation;Liquids;International Aviation;Liquids
trn_freight;Domestic Ship;Liquids;Domestic Ship;Liquids
trn_freight;Freight Rail;Coal;NA;NA
trn_freight;Freight Rail;Electric;Freight Rail;Electric
trn_freight;Freight Rail;Liquids;Freight Rail;Liquids
trn_freight;road;road;NA;NA
trn_freight_road;Truck (0-2t);Liquids;Truck (0-3_5t);Liquids
trn_freight_road;Truck (0-2t);NG;Truck (0-3_5t);NG
trn_freight_road;Truck (2-5t);Liquids;Truck (0-3_5t);Liquids
trn_freight_road;Truck (2-5t);NG;Truck (0-3_5t);NG
trn_freight_road;Truck (5-9t);Liquids;Truck (7_5t);Liquids
trn_freight_road;Truck (5-9t);NG;Truck (7_5t);NG
trn_freight_road;Truck (9-16t);Liquids;Truck (7_5t);Liquids
trn_freight_road;Truck (9-16t);NG;Truck (7_5t);NG
trn_pass;Cycle;Cycle;Cycle;Cycle_tmp_technology
trn_pass;Domestic Aviation;Liquids;Domestic Aviation;Liquids
trn_pass;HSR;Electric;HSR;Electric
trn_pass;Passenger Rail;Electric;Passenger Rail;Electric
trn_pass;Passenger Rail;Liquids;Passenger Rail;Liquids
trn_pass;Walk;Walk;Walk;Walk_tmp_technology
trn_pass;road;road;NA;NA
trn_pass_road;Bus;Liquids;Bus;Liquids
trn_pass_road;Bus;NG;Bus;Gases
trn_pass_road;LDV;LDV;NA;NA
trn_pass_road_LDV;2W;2W;NA;NA
trn_pass_road_LDV;4W;4W;NA;NA
trn_pass_road_LDV;Three-Wheeler;Liquids;Motorcycle (>250cc);Liquids
trn_pass_road_LDV;Three-Wheeler;NG;NA;NA
trn_pass_road_LDV_2W;Motorcycle (50-250cc);BEV;Motorcycle (50-250cc);BEV
trn_pass_road_LDV_2W;Motorcycle (50-250cc);Liquids;Motorcycle (50-250cc);Liquids
trn_pass_road_LDV_4W;Compact Car;BEV;Compact Car;BEV
